11 Com b
11 Com b
11 UMi b
11 UMi b
11 UMi b
14 And b
14 And b
14 Her b
14 Her b
14 Her b
14 Her b
14 Her b
14 Her b
14 Her b
14 Her b
16 Cyg B b
16 Cyg B b
16 Cyg B b
16 Cyg B b
16 Cyg B b
16 Cyg B b
17 Sco b
18 Del b
18 Del b
1RXS J160929.1-210524 b
1RXS J160929.1-210524 b
1RXS J160929.1-210524 b
1RXS J160929.1-210524 b
24 Boo b
24 Sex b
24 Sex c
2M0437 b
2MASS J01033563-5515561 AB b
2MASS J01225093-2439505 b
2MASS J01225093-2439505 b
2MASS J02192210-3925225 b
2MASS J04414489+2301513 b
2MASS J12073346-3932539 b
2MASS J12073346-3932539 b
2MASS J19383260+4603591 b
2MASS J19383260+4603591 b
2MASS J22362452+4751425 b
30 Ari B b
30 Ari B b
30 Ari B b
4 UMa b
42 Dra b
47 UMa b
47 UMa b
47 UMa b
47 UMa b
47 UMa b
47 UMa c
47 UMa c
47 UMa c
47 UMa d
47 UMa d
51 Eri b
51 Eri b
51 Eri b
51 Peg b
51 Peg b
51 Peg b
51 Peg b
51 Peg b
55 Cnc b
55 Cnc b
55 Cnc b
55 Cnc b
55 Cnc b
55 Cnc b
55 Cnc b
55 Cnc b
55 Cnc b
55 Cnc b
55 Cnc b
55 Cnc b
55 Cnc c
55 Cnc c
55 Cnc c
55 Cnc c
55 Cnc c
55 Cnc c
55 Cnc c
55 Cnc c
55 Cnc d
55 Cnc d
55 Cnc d
55 Cnc d
55 Cnc d
55 Cnc d
55 Cnc d
55 Cnc d
55 Cnc d
55 Cnc d
55 Cnc e
55 Cnc e
55 Cnc e
55 Cnc e
55 Cnc e
55 Cnc e
55 Cnc e
55 Cnc e
55 Cnc e
55 Cnc e
55 Cnc e
55 Cnc e
55 Cnc e
55 Cnc e
55 Cnc e
55 Cnc f
55 Cnc f
55 Cnc f
55 Cnc f
55 Cnc f
55 Cnc f
55 Cnc f
6 Lyn b
6 Lyn b
