Name
Name
Rigel
Betelgeuse
Bellatrix
Alnilam
Alnitak A
Saiph
Mintaka AB
? Ori
?3 Ori
? Ori
Meissa A
? Ori
?4 Ori
Alnitak B
?5 Ori
? Ori AB
?2 Ori
?2 Ori
? Ori
29 Ori
32 Ori
?2 Ori
?1 Ori
?1 Ori
? Ori
? Ori
? Ori
?6 Ori
? Ori
HD 40657
42 Ori
?2 Ori
? Ori
?1 Ori
?2 Ori
11 Ori
?1 Ori
31 Ori
22 Ori
56 Ori
49 Ori
HD 36960
15 Ori
?1 Ori
51 Ori
HD 44131
HD 37756
69 Ori
?2 Ori A
23 Ori
74 Ori
27 Ori
?1 Ori C
64 Ori
6 Ori
HD 33554
71 Ori
60 Ori
45 Ori
52 Ori
38 Ori
5 Ori
HD 31296
14 Ori
21 Ori
HD 36591
72 Ori
HD 30210
VV Ori
55 Ori
HD 30034
75 Ori
U Ori
16 Ori
73 Ori
33 Ori
HD 34043
18 Ori
HD 35536
35 Ori
HD 36881
Meissa B
HD 43318
66 Ori
HD 36959
63 Ori
HD 44033
HD 35007
HD 35299
HD 40369
HD 42111
HD 43587
HD 37209
68 Ori
HD 36166
HD 34989
HD 38527
HD 31373
HD 39007
HD 36134
HD 43023
HD 42954
HD 37320
HD 39910
HD 33646
HD 33608
HD 40020
59 Ori
HD 33833
HD 32263
HD 43112
HD 36780
57 Ori
HD 36162
HD 37788
HD 38529
HD 39421
HD 37481
HD 39051
HD 39286
HD 37171
HD 38089
HD 38858
HD 39118
HD 39885
HD 31331
HD 35281
HD 37594
HD 39775
HD 44497
HD 37303
HD 30545
HD 32686
V1031 Ori
HD 42477
HD 43285
HD 33883
HD 38309
HD 41076
W Ori
HD 30870
HD 33419
HD 37232
HD 43683
HD 35317
HD 39632
HD 31764
13 Ori
HD 34180
HD 36558
HD 37356
HD 35588
HD 35693
CK Ori
HD 40347
HD 37744
HD 40282
HD 36430
HD 33555
HD 35640
HD 36779
HD 37016
HD 38495
HD 43821
HD 31623
HD 36840
HD 39927
HD 30869
HD 39685
BL Ori
HD 32115
V1197 Ori
HD 43819
HD 30321
HD 33946
HD 34648
HD 35407
HD 36285
HD 31739
V1649 Ori
HD 35909
HD 44867
HD 35775
HD 42351
HD 43358
HD 36058
?2 Ori B
HD 43335
HD 34880
V1377 Ori
HD 35656
HD 35912
HD 37904
HD 31423
HD 34317
HD 34878
V1357 Ori
HD 35575
HD 32273
HD 36814
V1389 Ori
HD 37808
V1369 Ori
HD 36150
HD 37635
HD 31411
HD 37150
HD 37808
HD 37017
? Ori E
HD 43317
? Ori D
?1 Ori D
?1 Ori A
HD 35155
Mintaka C
HD 42618
KX Ori
Gliese 205
V901 Ori
HD 33636
HD 31253
S Ori
HD 37824
HD 34137
HD 37058
HD 34445
HD 37151
V1192 Ori
HD 36629
HD 37903
HD 35298
HD 37806
?1 Ori B
HD 38677
V372 Ori
HD 36668
HD 38801
HD 39392
RS Ori
? Ori C
HD 37605
V351 Ori
V2689 Ori
HD 290327
DN Ori
V1355 Ori
FT Ori
ER Ori
HD 250550
UX Ori
EY Ori
BN Ori
FU Ori
BF Ori
Gliese 221
V586 Ori
HD 37411
BD +03 740
HD 34282
EW Ori
V1162 Ori
Z Ori
GW Ori
WASP-82
V1005 Ori
V346 Ori
CO Ori
FZ Ori
V380 Ori
GG Ori
HK Ori
T Ori
DY Ori
LkH? 208
GJ 3379
FH Ori
?1 Ori E
V371 Ori
Ross 87
Gliese 179
GP Ori
RX J0529.4+0041
GU Ori
YY Ori
LV 2
G 99-47
V1118 Ori
LP 658-2
G 99-37
V1159 Ori
VY Ori
V1309 Ori
CN Ori
CZ Ori
V1647 Ori
4U 0614+091
Becklin–Neugebauer Object
2MASS J05352184-0546085
OMC-2 FIR 4
Orion Source I
Reipurth 50
S Ori 70
WISE J0521+1025
"Table legend: • Name = Proper name 
 • B = Bayer designation 
 • F or/and G. = Flamsteed designation or Gould designation 
 • Var = Variable star designation 
 • HD = Henry Draper Catalogue designation number 
 • HIP = Hipparcos Catalogue designation number 
 • RA = Right ascension for the Epoch/Equinox J2000.0 
 • Dec = Declination for the Epoch/Equinox J2000.0 
 • vis. mag. = visual magnitude (m or mv), also known as apparent magnitude 
 • abs. mag. = absolute magnitude (Mv) 
 • Dist. (ly) = Distance in light-years from Earth 
 • Sp. class = Spectral class of the star in the stellar classification system 
 • Notes = Common name(s) or alternate name(s); comments; notable properties [for example: multiple star status, range of variability if it is a variable star, exoplanets, etc.]"
